Argument.0.Value,TrafficData.Rank,Country.IN.Rank,Country.ID.Rank,Country.EG.Rank,Country.SG.Rank,Country.TR.Rank,Country.RU.Rank,Country.IL.Rank,Country.TW.Rank,Country.PK.Rank,Country.US.Rank,Country.HK.Rank,Country.AU.Rank,Country.SA.Rank,Country.CH.Rank,Country.NG.Rank,Country.AE.Rank,Country.CO.Rank,Country.KR.Rank,Country.BR.Rank,Country.GR.Rank,Country.ZA.Rank,Country.MX.Rank,Country.CA.Rank,Country.JP.Rank,Country.O.Rank,Country.DE.Rank,Country.PH.Rank,Country.IR.Rank,Country.GB.Rank,Country.FR.Rank,Country.IT.Rank,Country.MY.Rank,Country.DZ.Rank,Country.QA.Rank,Country.ES.Rank,Country.IE.Rank,Country.NL.Rank,Country.AR.Rank,Country.DK.Rank,Country.CN.Rank,Country.TT.Rank,Country.FI.Rank,Country.NO.Rank,Country.VE.Rank,Country.BE.Rank,Country.CZ.Rank,Country.KE.Rank,Country.RO.Rank,Country.BD.Rank,Country.HR.Rank,Country.SD.Rank,Country.JO.Rank,Country.ET.Rank,Country.AZ.Rank,Country.CR.Rank,Country.VN.Rank,Country.LK.Rank,Country.MK.Rank,Country.NZ.Rank,Country.SY.Rank,Country.KW.Rank,Country.MM.Rank,Country.SE.Rank,Country.BA.Rank,Country.RS.Rank,Country.AT.Rank,Country.TZ.Rank,Country.TH.Rank,Country.LU.Rank,Country.UG.Rank,Country.NP.Rank,Country.UA.Rank,Country.PA.Rank,Country.GH.Rank,Country.PL.Rank,Country.TN.Rank,Country.MA.Rank,Country.PT.Rank,Country.NI.Rank,Country.IQ.Rank,Country.CL.Rank,Country.KZ.Rank,Country.YE.Rank,Country.DO.Rank,Country.CU.Rank,Country.PE.Rank,Country.PR.Rank,Country.CM.Rank,Country.AF.Rank,Country.GI.Rank,Country.AD.Rank,Country.EE.Rank,Country.EC.Rank,Country.GP.Rank,Country.BW.Rank,Country.SN.Rank,Country.SV.Rank,Country.GT.Rank,Country.AM.Rank,Country.GE.Rank,Country.AL.Rank,Country.BM.Rank,Country.AO.Rank,Country.MZ.Rank,Country.UY.Rank,Country.PY.Rank,Country.CI.Rank,Country.GF.Rank,Country.MQ.Rank,Country.CD.Rank,Country.MG.Rank,Country.BO.Rank,Country.BF.Rank,Country.PF.Rank,Country.KG.Rank,Country.MN.Rank,Country.TM.Rank,Country.LB.Rank,Country.LA.Rank,Country.GQ.Rank,Country.HN.Rank,Country.HU.Rank,Country.BY.Rank,Country.ZM.Rank,Country.RW.Rank,Country.NA.Rank,Country.KH.Rank,Country.CV.Rank,Country.ML.Rank,Country.NE.Rank,Country.BI.Rank,Country.TG.Rank,Country.GN.Rank,Country.BJ.Rank,Country.TD.Rank,Country.GA.Rank,Country.BH.Rank,Country.MU.Rank,Country.OM.Rank,Country.SL.Rank,Country.ZW.Rank,Country.CG.Rank,Country.IM.Rank,Country.SO.Rank,Country.BB.Rank,Country.BG.Rank,Country.LT.Rank,Country.UZ.Rank,Country.SK.Rank,Country.HT.Rank,Country.MD.Rank,Country.LY.Rank,Country.ME.Rank,Country.SI.Rank,Country.RE.Rank,Country.FJ.Rank,Country.BN.Rank,Country.PS.Rank,Country.MT.Rank,Country.JE.Rank,Country.JM.Rank,Country.GY.Rank,Country.SZ.Rank,Country.MW.Rank,Country.MR.Rank,Country.GG.Rank,Country.SC.Rank,Country.BS.Rank,Country.BT.Rank,Country.PG.Rank,Country.DJ.Rank,Country.MO.Rank,Country.AW.Rank,Country.LC.Rank,Country.KY.Rank,Country.IS.Rank,Country.GU.Rank,Country.AI.Rank,Country.BZ.Rank,Country.MC.Rank,Country.CW.Rank,Country.LV.Rank,Country.TJ.Rank,Country.GM.Rank,Country.SR.Rank,Country.CY.Rank,Country.LR.Rank,Country.SB.Rank
http://www.fastcompany.com/,3528,2794,,,2045,10208,,,,4686,858,2609,1935,4546,,3434,2300,,,10964,5327,4811,2770,1512,10588,,11832,1353,,4137,,,3345,,,,,5160,,,,,,,,1938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.inc.com/,1648,930,,3116,1117,,,,,1164,680,2622,1296,3747,2194,715,1041,,7701,8722,,1180,4766,920,9529,,12267,741,,3133,,,1466,,,,,,,,,,,,,,1287,647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.tmz.com/,1605,14853,,,,,2626,,,,381,,,,,2128,,,5681,8657,,,7856,686,16153,,,,,,,,,,,,,,4024,,,,,,,,830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://theverge.com/,641,377,1723,1029,333,1495,,,1386,417,284,506,367,,701,355,403,,1598,2775,780,499,1089,284,1554,,1304,487,2119,479,2718,2086,835,,,,242,948,,,,,,,,,,,473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.cbsnews.com/,1239,2698,,,1851,,2225,,,2058,268,,2230,2865,,1819,,,,7805,,1721,4492,757,10128,,5051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://abcnews.go.com/,1048,1911,,,,,1776,,2534,1216,204,,959,,,1354,,,2437,3252,,1512,2643,593,4859,,,966,,2194,,,,,,,,,,,6834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://thenextweb.com/,5177,1270,8381,6450,3243,6201,,,6524,2313,2593,,2437,6239,4136,3413,2631,3813,,9551,3547,3976,6310,2620,18113,,,2668,10913,6140,,,5040,,2812,,,,,,,,,,,,,,,2827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://news.ycombinator.com/,5231,2973,,12681,7345,14022,,2046,3678,12497,1718,5238,6168,5502,,2625,,,,25554,,7852,10914,2683,6353,,,,,7090,3990,,,,,,,,,,,,,,,,,,,,492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.cnet.com/,163,175,378,230,107,599,1117,,148,95,100,113,263,304,,177,,,63,632,490,144,210,185,69,,1111,145,605,466,1031,580,232,,,,,,,,,,,,,,,,,169,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.medicinenet.com/,3115,1171,6885,3099,2121,,,,,1203,1279,,1731,3279,,1190,2126,,,,,1732,,1610,16559,,,709,7479,2727,,,1951,,,,,,,,,,,,,,,,,3577,,,389,873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://sciencedaily.com/,2968,2105,,4907,3239,7164,16354,,,2691,923,,1993,4116,,3353,,,7821,11689,3161,1231,6643,1174,19965,,5972,1094,7080,1848,,,2218,,,,,,,,,,,,,,,,,,,,,666,1432,655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://medicalxpress.com/,24435,25261,,15107,,36660,35874,,,43386,12259,,15250,,,,,,,,3333,,,13231,,,,9718,59905,10855,,,,,,,,,,,,,,,,,,,,,,,,,,,32609,6737,1308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.webmd.com/,449,287,,708,474,,1413,,,293,184,,390,632,,268,,,1776,,,339,1415,239,4377,,4193,197,2001,557,,,553,,,,,,,,,,,,,,,,,541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.nlm.nih.gov/,128,150,298,223,113,445,602,,129,144,79,127,147,215,,120,,,58,840,,107,254,131,74,,430,84,623,100,233,249,109,,,203,,126,,,569,,,,,,,,,,,14,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.medpagetoday.com/,29947,22380,,,7633,53488,,,,52125,4826,,23182,,,,,,,,,,,11641,,,,9589,57465,,,,17473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.newscientist.com/,7361,3359,,,5753,12768,,,,3614,2546,,2116,9917,7053,3968,,,,14477,4801,2044,12167,2926,,,,3100,19886,918,,,4538,,,4163,,,8051,,,,,,,1259,,,,6149,,,,1361,,,,,,957,1151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://reuters.com/,406,489,,361,335,860,1491,,954,560,200,470,456,440,253,103,285,,994,644,629,566,301,229,267,,845,,2311,732,1676,,,,192,,,,884,,,,,,,,,,,309,,,,,402,,,,,,,218,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.onmedica.com/,3197697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.bbc.co.uk/,110,1131,,,,,,,164,,145,141,274,,,257,,,76,,,,,327,102,,389,,,3,441,,,,,402,54,,,,,,,,,,,,,,,,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.forbes.com/,238,136,,628,121,,1416,,,138,88,228,148,,189,102,181,,497,1053,519,160,362,116,1514,,1282,138,1233,275,,,255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.motortrend.com/,10516,27796,19862,26967,,50090,31109,,,,3300,,29861,,,14067,12038,,,,21300,8483,4468,4852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.gizmag.com/,100418,,,,,,57298,,,,38366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://autoweek.com/,73832,86322,,,,,,,,,21247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.edmunds.com/,2520,18069,,,,,1921,,,8891,531,,5778,,,2412,,,5953,14797,,,,1480,12375,,,,,,,,,,1998,,,,,,,301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.caranddriver.com/,5422,15712,,13042,,,40988,,,12538,1331,,10698,,,,,3723,,,7874,7336,7009,2126,,,,,,,,,,,,,,,,,,,,,6027,,,,,,,,,,,,,,,,,,,3381,1416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.kbb.com/,2232,62729,,,,,2284,,,,549,,,,,,,,6292,12461,,,,4420,14594,,,,,,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.automobilemag.com/,66931,105390,,,,,,,,,19025,,,,,,,,,,,,,50973,,,,,80637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.vogue.co.uk/,27561,47688,28248,,7052,73056,111041,,,18737,22499,,,,,4910,,,,,9482,,,30198,,,,12145,,8044,,,14216,,,,,,,,,,,,,,,,,19168,,,,,4346,,,,,,,,,,,3032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.elle.com/,3422,5007,8680,,4131,,,,291,4712,2947,2421,4545,,,3197,,5141,7699,,,2503,3991,2721,2306,,,3460,,4074,,2041,,,,2466,,,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://wwd.com/,12606,25320,,,8124,,31589,,13521,20336,3135,6280,9082,,,,8393,10477,,,15409,,,6363,18796,,,13273,,,,,10479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://fashionista.com/,18251,30933,,,,42081,29430,,,35315,7062,7060,,,,7802,,,,,,,,19880,,,,15570,,13228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.popsugar.com/,3579,4256,5045,7765,5420,15946,,,,2663,945,,8762,6232,,1830,,,,,6954,3034,3803,1582,12709,,,2935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.instyle.com/,11687,13807,,,,,40307,,,9909,3946,10690,14456,,,,,11276,,,8700,,,4506,,,5380,9466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.look.co.uk/,640178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
